Card Name,Set Name,Normal Price (USD),Foil Price (USD)
Acidic Dagger,Mirage,0.37,
Acidic Slime,Commander Masters,0.09,0.15
Acidic Sliver,Tempest Remastered,,
Acidic Soil,Urza's Saga,1.45,
Acid Rain,Masters Edition IV,,
Acid-Spewer Dragon,Dragons of Tarkir,0.16,0.62
Acid Web Spider,Scars of Mirrodin,0.20,1.96
"Aclazotz, Deepest Betrayal // Temple of the Dead",The Lost Caverns of Ixalan,10.48,10.69
Acolyte Hybrid,"Warhammer 40,000 Commander",0.09,
Acolyte of Aclazotz,The Lost Caverns of Ixalan,0.03,0.06
Acolyte of Affliction,Theros Beyond Death,0.10,0.21
Acolyte of Bahamut,Commander Legends: Battle for Baldur's Gate,0.03,0.17
Acolyte of the Inferno,Magic Origins,0.10,0.38
Acolyte of Xathrid,Magic 2010,0.08,0.40
Acolyte's Reward,Born of the Gods,0.08,0.22
Acorn Catapult,Commander 2011,8.37,
Acorn Harvest,Torment,2.24,17.10
Acquire,Fifth Dawn,2.75,26.56
Acquired Mutation,Fallout,0.12,2.26
Acquisition Octopus,Kamigawa: Neon Dynasty,0.07,0.15
Acquisitions Expert,Zendikar Rising,0.04,0.17
Acridian,Urza's Saga,0.13,
Acrobatic Cheerleader,Duskmourn: House of Horror,0.01,0.01
Acrobatic Leap,The Lost Caverns of Ixalan,0.03,0.12
Acrobatic Maneuver,Kaladesh,0.14,1.35
Activated Sleeper,Dominaria United Commander,1.16,1.83
Active Volcano,Masters Edition III,,
Act of Aggression,Commander 2015,0.32,
Act of Authority,Commander 2013,0.88,
Act of Heroism,Masters 25,0.03,0.28
Act of Treason,Ravnica Remastered,0.02,0.09
Act on Impulse,Magic 2015,0.15,1.37
Adamant Will,Foundations,0.57,
"Adamaro, First to Desire",Saviors of Kamigawa,0.70,13.47
Adanto Vanguard,Ixalan,0.09,1.71
Adaptive Automaton,Foundations,,0.98
Adaptive Gemguard,The Lost Caverns of Ixalan,0.02,0.03
Adaptive Shimmerer,Ikoria: Lair of Behemoths,0.03,0.09
Adaptive Snapjaw,Gatecrash,0.02,0.33
Adaptive Sporesinger,Phyrexia: All Will Be One,0.03,0.11
Adarkar Sentinel,Masters Edition II,,
Adarkar Unicorn,Ice Age,0.13,
Adarkar Valkyrie,Commander 2018,0.95,
Adarkar Wastes,Duskmourn: House of Horror Commander,1.18,
Adarkar Windform,Coldsnap,0.18,
Adder-Staff Boggart,Lorwyn,0.11,0.24
Addle,Vintage Masters,,
"Adeline, Resplendent Cathar",March of the Machine Commander,5.48,
"Adeliz, the Cinder Wind",Dominaria,0.12,0.71
"Adéwalé, Breaker of Chains",Assassin's Creed,0.09,0.08
Adherent of Hope,Core Set 2021,0.14,
Adipose Offspring,Doctor Who,0.11,0.21
Admiral Beckett Brass,The Lost Caverns of Ixalan Commander,0.17,
"Admiral Brass, Unsinkable",The Lost Caverns of Ixalan Commander,0.25,0.10
Admiral's Order,Rivals of Ixalan,0.32,1.30
Admonition Angel,Zendikar Rising Commander,0.77,
Ad Nauseam,Double Masters,14.67,38.30
Adorned Pouncer,Hour of Devastation,0.56,1.39
Adrestia,Assassin's Creed,0.11,0.12
"Adriana, Captain of the Guard",Dominaria United Commander,0.16,
"Adric, Mathematical Genius",Doctor Who,0.13,1.42
"Adrix and Nev, Twincasters",Murders at Karlov Manor Commander,3.47,
Adult Gold Dragon,Adventures in the Forgotten Realms,0.20,0.30
Adun Oakenshield,Masters Edition,,
Advanced Hoverguard,Fifth Dawn,0.03,0.19
Advanced Stitchwing,Double Masters 2022,0.03,0.03
Advance Scout,Tempest,0.13,
Advent of the Wurm,Modern Masters 2017,0.21,0.50
Adventure Awaits,Zendikar Rising,0.03,0.11
Adventurers' Guildhouse,Legends,8.52,
Adventuring Gear,Foundations,0.10,0.06
Adventurous Impulse,Ikoria: Lair of Behemoths,0.04,0.12
Adverse Conditions,Battle for Zendikar,0.05,0.47
Advice from the Fae,Shadowmoor,0.22,1.99
Advocate of the Beast,Magic 2014,0.07,0.20
"Aegar, the Freezing Flame",Kaldheim,0.04,0.31
Aegis Angel,Archenemy: Nicol Bolas,0.50,
Aegis Automaton,Aether Revolt,0.03,0.50
Aegis of Honor,Odyssey,1.70,10.40
Aegis of the Gods,Journey into Nyx,1.03,6.02
Aegis of the Heavens,Jumpstart,0.17,
Aegis of the Legion,Ravnica: Clue Edition,1.02,
Aegis of the Meek,Ice Age,0.67,
Aegis Turtle,Foundations,0.05,0.04
Aeolipile,Masters Edition II,,
Aeon Chronicler,Time Spiral Remastered,0.21,0.96
Aeon Engine,Commander 2019,0.15,
Aerathi Berserker,Legends,3.63,
Aerial Assault,Jumpstart,0.08,
Aerial Boost,March of the Machine,0.02,0.03
Aerial Caravan,Mercadian Masques,0.45,3.37
Aerial Engineer,Core Set 2019,0.07,
Aerialephant,Unfinity,0.02,0.09
Aerial Extortionist,Murders at Karlov Manor Commander,0.46,
Aerial Formation,Journey into Nyx,0.03,0.49
Aerial Guide,Hour of Devastation,0.02,0.25
Aerial Maneuver,Gatecrash,0.04,0.15
Aerial Modification,Aether Revolt,0.05,0.45
Aerial Predation,Iconic Masters,0.02,0.15
Aerial Responder,Commander 2020,0.14,
Aerial Surveyor,Neon Dynasty Commander,0.22,
Aerial Volley,Magic Origins,0.09,0.49
Aerie Auxiliary,Modern Horizons 3,0.02,0.03
Aerie Bowmasters,Dragons of Tarkir,0.03,0.34
Aerie Mystics,Commander Anthology,0.14,
Aerie Ouphes,Eventide,0.17,8.02
Aerie Worshippers,Born of the Gods,0.03,0.27
Aeromoeba,Modern Horizons 2,0.02,0.06
Aeromunculus,Ravnica Allegiance,0.02,0.16
Aeronaut Admiral,Neon Dynasty Commander,0.08,
Aeronaut Cavalry,The Brothers' War,0.03,0.08
Aeronaut's Wings,The Brothers' War,0.02,0.08
Aeronaut Tinkerer,Magic 2015,0.02,
"Aesi, Tyrant of Gyre Strait",Duskmourn: House of Horror Commander,7.60,
Aesthir Glider,Dominaria,0.03,0.15
Aether Adept,Duel Decks: Jace vs. Vraska,0.14,
Aether Barrier,Nemesis,1.64,40.41
Aetherblade Agent // Gitaxian Mindstinger,March of the Machine,0.04,0.09
Aetherborn Marauder,Outlaws of Thunder Junction Commander,0.07,
Aether Burst,Odyssey,0.17,1.32
Aether Channeler,Dominaria United,0.19,0.56
Aether Charge,Onslaught,0.18,1.84
Aether Chaser,Aether Revolt,0.05,0.28
Aether Figment,Duel Decks: Jace vs. Vraska,0.10,
Aetherflame Wall,Time Spiral,0.07,0.75
Aether Flash,Seventh Edition,0.66,
Aetherflux Reservoir,Kaladesh,9.32,18.69
Aether Gale,Duskmourn: House of Horror Commander,0.13,
Aethergeode Miner,Aether Revolt,0.22,0.50
Aether Gust,Core Set 2020,0.13,2.45
Aether Helix,Strixhaven: School of Mages,0.04,0.23
Aether Herder,Aether Revolt,0.04,0.69
Aether Hub,Kaladesh,0.23,3.63
Aether Inspector,Aether Revolt,0.02,0.24
Aetherize,Foundations,0.21,0.29
Aetherling,Dragon's Maze,0.34,0.78
Aethermage's Touch,Double Masters 2022,0.05,0.09
Aether Meltdown,Kaladesh,0.04,0.30
Aether Membrane,Duel Decks: Venser vs. Koth,0.38,
Aether Mutation,Vintage Masters,,
Aetherplasm,Ravnica Remastered,0.04,0.07
Aether Poisoner,Aether Revolt,0.04,0.17
Aether Refinery,Modern Horizons 3 Commander,0.20,
Aether Revolt,Modern Horizons 3,0.22,0.21
Aether Rift,Invasion,0.46,2.86
Aether Searcher,Conspiracy,0.22,0.99
Aethershield Artificer,Core Set 2019,0.06,0.49
Aether Shockwave,Saviors of Kamigawa,0.69,2.72
Aether Snap,New Capenna Commander,0.27,
Aethersnatch,Commander 2015,1.25,
Aethersnipe,Double Masters 2022,0.02,0.02
Aether Spellbomb,Jumpstart,0.23,
Aethersphere Harvester,Aether Revolt,0.26,0.80
Aether Spike,Modern Horizons 3,0.02,0.07
Aetherspouts,Midnight Hunt Commander,0.38,
Aethersquall Ancient,Kaladesh,0.14,0.86
Aether Sting,Urza's Destiny,0.49,36.15
Aether Storm,Masters Edition II,,
Aetherstorm Roc,Kaladesh,0.21,0.80
Aetherstream Leopard,Aether Revolt,0.04,0.33
Aether Swooper,Aether Revolt,0.05,0.31
Aether Theorist,Kaladesh,0.04,0.35
Aether Tide,Exodus,0.12,
Aethertide Whale,Aether Revolt,0.20,0.73
Aethertorch Renegade,Kaladesh,0.10,0.53
Aethertow,Modern Masters 2017,0.02,0.05
Aether Tradewinds,Kaladesh,0.04,0.19
Aether Tunnel,Core Set 2019,0.45,2.30
Aether Vial,Double Masters 2022,3.84,5.76
Aether Web,Time Spiral,0.11,0.28
Aetherwind Basker,Aether Revolt,0.53,1.43
Aetherworks Marvel,Kaladesh,0.96,22.88
"Aeve, Progenitor Ooze",Modern Horizons 2,0.20,0.53
Affa Guard Hound,Jumpstart,0.04,
Affa Protector,Oath of the Gatewatch,0.04,0.17
Affectionate Indrik,Foundations,0.06,0.05
Afflict,Tenth Edition,0.07,0.35
Afflicted Deserter // Werewolf Ransacker,Dark Ascension,0.17,3.11
Afiya Grove,Mirage,0.87,
Afterlife,Commander 2014,0.20,
Afterlife Insurance,Ravnica: Clue Edition,1.60,
Aftermath Analyst,Murders at Karlov Manor,2.62,2.90
Aftershock,Tempest Remastered,,
Agadeem Occultist,Worldwake,0.33,1.50
"Agadeem's Awakening // Agadeem, the Undercrypt",Zendikar Rising,17.67,19.11
Against All Odds,Phyrexia: All Will Be One,0.07,0.19
Agate Assault,Bloomburrow,0.03,0.02
Agate-Blade Assassin,Bloomburrow,0.03,0.05
Agate Instigator,Bloomburrow Commander,16.63,
Agatha of the Vile Cauldron,Wilds of Eldraine,0.52,1.09
Agatha's Champion,Wilds of Eldraine,0.02,0.02
Agatha's Soul Cauldron,Wilds of Eldraine,25.72,26.74
Ageless Entity,Commander 2021,0.15,
Ageless Guardian,Strixhaven: School of Mages,0.01,0.03
Ageless Sentinels,Scourge,0.32,1.99
Agency Coroner,Murders at Karlov Manor,0.03,0.01
Agency Outfitter,Murders at Karlov Manor,0.02,0.05
Agent Frank Horrigan,Fallout,1.58,0.94
Agent of Acquisitions,Conspiracy,0.18,0.75
Agent of Erebos,Journey into Nyx,0.29,6.84
Agent of Horizons,Theros,0.05,0.05
Agent of Masks,Modern Masters 2017,0.17,0.43
Agent of Shauku,Prophecy,0.05,0.15
Agent of Stromgald,Alliances,0.18,
Agent of the Fates,Theros,0.29,0.93
Agent of the Iron Throne,Commander Legends: Battle for Baldur's Gate,0.19,5.29
Agent of the Shadow Thieves,Commander Legends: Battle for Baldur's Gate,0.09,0.17
Agent of Treachery,Core Set 2020,5.30,9.11
Agent's Toolkit,New Capenna Commander,0.25,
Aggravate,Avacyn Restored,0.09,0.22
Aggravated Assault,Onslaught,7.55,58.46
Aggression,Ice Age,0.27,
Aggressive Biomancy,Modern Horizons 3 Commander,0.38,
Aggressive Instinct,Global Series Jiang Yanggu & Mu Yanling,0.18,
Aggressive Mammoth,Foundations,5.22,
Aggressive Mining,Magic 2015,0.47,1.49
Aggressive Sabotage,Dominaria United,0.02,0.02
Aggressive Urge,Jumpstart,0.04,
Agility,Mirage,0.12,
Agility Bobblehead,Fallout,1.68,4.32
Agitator Ant,Murders at Karlov Manor Commander,0.11,
Agonizing Demise,Duel Decks: Ajani vs. Nicol Bolas,0.24,
Agonizing Memories,Tenth Edition,0.10,0.61
Agonizing Remorse,Theros Beyond Death,0.03,0.15
Agonizing Syphon,Jumpstart,0.03,
Agony Warp,Double Masters 2022,0.03,0.07
A Good Day to Pie,Unfinity,0.03,0.03
Agoraphobia,Duel Decks: Jace vs. Vraska,0.08,
"Agrus Kos, Eternal Soldier",Jumpstart 2022,0.54,
"Agrus Kos, Spirit of Justice",Murders at Karlov Manor,0.23,0.52
"Agrus Kos, Wojek Veteran",Ravnica: City of Guilds,0.28,5.53
Ahn-Crop Champion,Amonkhet,0.04,0.41
Ahn-Crop Crasher,Amonkhet,0.06,1.32
Ahn-Crop Invader,War of the Spark,0.03,0.18
Aid from the Cowl,March of the Machine Commander,0.11,
Aid the Fallen,War of the Spark,0.04,0.48
Aim for the Head,Innistrad: Crimson Vow,0.02,0.06
Aim High,Battlebond,0.10,0.52
Ainok Artillerist,Dragons of Tarkir,0.03,0.49
Ainok Bond-Kin,Commander Masters,0.05,0.07
Ainok Guide,Fate Reforged,0.03,0.34
Ainok Survivalist,Murders at Karlov Manor Commander,0.06,
Ainok Tracker,Khans of Tarkir,0.02,0.09
Air Bladder,Nemesis,0.09,0.79
Airborne Aid,Onslaught,0.25,2.11
Air-Cult Elemental,Adventures in the Forgotten Realms,0.03,0.03
Airdrop Aeronauts,Aether Revolt,0.04,0.20
Airdrop Condor,Onslaught,0.17,0.42
Air Elemental,Core Set 2020,0.08,0.10
Airlift Chaplain,The Brothers' War,0.04,0.07
Air Marshal,The Brothers' War,0.02,0.07
Air Servant,Welcome Deck 2016,0.02,
Airtight Alibi,Murders at Karlov Manor,0.05,0.04
Aisha of Sparks and Smoke,Universes Within,0.52,
Aisling Leprechaun,Legends,0.43,
"Ajani, Adversary of Tyrants",Core Set 2019,4.62,8.73
"Ajani, Caller of the Pride",Foundations,0.98,1.43
Ajani Fells the Godsire,Modern Horizons 3,0.02,0.10
Ajani Goldmane,Magic 2011,4.34,20.05
"Ajani, Inspiring Leader",Core Set 2020,,6.83
"Ajani, Mentor of Heroes",Journey into Nyx,4.63,23.97
"Ajani, Nacatl Pariah // Ajani, Nacatl Avenger",Modern Horizons 3,12.03,13.04
Ajani's Aid,Aether Revolt,0.13,
Ajani's Chosen,Jumpstart,0.29,
Ajani's Comrade,Aether Revolt,0.15,
Ajani's Influence,Core Set 2019,0.25,
Ajani's Last Stand,Core Set 2019,0.14,0.65
"Ajani, Sleeper Agent",Dominaria United,1.86,1.94
Ajani's Mantra,Duel Decks: Ajani vs. Nicol Bolas,0.32,
Ajani's Presence,Journey into Nyx,0.09,1.02
Ajani's Pridemate,Foundations,0.05,0.09
Ajani's Sunstriker,Conspiracy,0.16,0.53
Ajani Steadfast,Commander Masters,0.84,
"Ajani, Strength of the Pride",Core Set 2020,3.10,10.81
Ajani's Welcome,Core Set 2019,2.83,6.41
"Ajani, the Greathearted",War of the Spark,0.47,2.70
Ajani Unyielding,New Capenna Commander,0.42,
"Ajani, Valiant Protector",Aether Revolt,,1.97
Ajani Vengeant,Duel Decks: Ajani vs. Nicol Bolas,,1.85
"Ajani, Wise Counselor",Core Set 2019,,6.80
"Akal Pakal, First Among Equals",The Lost Caverns of Ixalan,0.11,0.21
"Akawalli, the Seething Tower",The Lost Caverns of Ixalan,0.05,0.09
A Killer Among Us,Murders at Karlov Manor,0.04,0.06
"Akim, the Soaring Wind",Commander 2020,0.39,0.37
"Akiri, Fearless Voyager",Commander Masters,0.71,0.59
"Akiri, Line-Slinger",Commander 2016,,2.09
Akki Avalanchers,Champions of Kamigawa,0.07,0.38
Akki Battle Squad,Neon Dynasty Commander,0.95,
Akki Blizzard-Herder,Betrayers of Kamigawa,0.19,1.36
Akki Coalflinger,Duel Decks Anthology: Elves vs. Goblins,0.39,
Akki Drillmaster,Saviors of Kamigawa,0.12,0.42
Akki Ember-Keeper,Kamigawa: Neon Dynasty,0.02,0.10
"Akki Lavarunner // Tok-Tok, Volcano Born",Champions of Kamigawa,0.39,9.36
Akki Raider,Betrayers of Kamigawa,0.18,0.66
Akki Rockspeaker,Champions of Kamigawa,0.11,0.58
Akki Ronin,Kamigawa: Neon Dynasty,0.02,0.06
Akki Scrapchomper,March of the Machine,0.03,0.07
Akki Underling,Saviors of Kamigawa,0.06,
Akki Underminer,Champions of Kamigawa,0.16,0.95
Akki War Paint,Kamigawa: Neon Dynasty,0.03,0.08
Akoum Battlesinger,Worldwake,0.13,0.89
Akoum Boulderfoot,Rise of the Eldrazi,0.07,
Akoum Firebird,Battle for Zendikar,0.26,0.40
Akoum Flameseeker,Oath of the Gatewatch,0.02,0.22
Akoum Hellhound,Zendikar Rising,0.05,0.11
Akoum Hellkite,Game Night 2019,0.34,
Akoum Refuge,Commander 2019,0.15,
Akoum Stonewaker,Battle for Zendikar,0.06,0.42
Akoum Warrior // Akoum Teeth,Zendikar Rising,0.06,0.11
Akrasan Squire,Shards of Alara,0.16,1.07
Akroan Conscriptor,Born of the Gods,0.08,0.49
Akroan Crusader,Ultimate Masters,0.10,0.49
Akroan Hoplite,Conspiracy: Take the Crown,0.11,
Akroan Horse,Commander 2016,0.32,
Akroan Jailer,Magic Origins,0.06,0.10
Akroan Line Breaker,Journey into Nyx,0.03,0.29
Akroan Mastiff,Journey into Nyx,0.05,0.35
Akroan Phalanx,Born of the Gods,0.06,0.31
Akroan Sergeant,Magic Origins,0.04,0.22
Akroan Skyguard,Born of the Gods,0.11,0.55
"Akroma, Angel of Fury",Murders at Karlov Manor Commander,0.18,
"Akroma, Angel of Wrath",Commander 2020,3.98,
Akroma's Blessing,Vintage Masters,,
Akroma's Devoted,Legions,0.21,3.48
Akroma's Memorial,Time Spiral Remastered,32.62,51.88
Akroma's Vengeance,Commander 2020,0.30,
Akroma's Will,The Lost Caverns of Ixalan Commander,10.21,
"Akroma, Vision of Ixidor",Commander Legends,7.27,10.36
Akron Legionnaire,Masters Edition III,,
Aku Djinn,Visions,1.54,
Akul the Unrepentant,Outlaws of Thunder Junction,0.18,0.29
"Akuta, Born of Ash",Saviors of Kamigawa,0.30,4.65
Al-abara's Carpet,Masters Edition IV,,
Alabaster Dragon,Weatherlight,0.89,
Alabaster Host Intercessor,March of the Machine,0.03,0.08
Alabaster Host Sanctifier,March of the Machine,0.02,0.03
Alabaster Kirin,Khans of Tarkir,0.05,0.07
Alabaster Leech,Invasion,0.35,8.21
Alabaster Mage,Double Masters,0.03,0.03
Alabaster Potion,Masters Edition III,,
Alabaster Wall,Mercadian Masques,0.17,0.49
Alaborn Cavalier,Duel Decks: Knights vs. Dragons,0.20,
Alaborn Grenadier,Portal Second Age,0.31,
Alaborn Musketeer,Masters Edition IV,,
Alaborn Trooper,Masters Edition IV,,
Alaborn Veteran,Portal Second Age,1.73,
Alaborn Zealot,Portal Second Age,2.17,
Aladdin,Masters Edition IV,,
Aladdin's Lamp,Fourth Edition,0.36,
Aladdin's Ring,Ninth Edition,0.27,
"Alandra, Sky Dreamer",Murders at Karlov Manor Commander,0.83,
"Alania, Divergent Storm",Bloomburrow,0.19,0.19
Alania's Pathmaker,Bloomburrow,0.03,0.04
Alarum,Mirage,0.06,
Alaundo the Seer,Commander Legends: Battle for Baldur's Gate,0.07,0.14
Albino Troll,Duel Decks Anthology: Garruk vs. Liliana,0.10,
Alchemist's Apprentice,Avacyn Restored,0.06,0.18
Alchemist's Gambit,Innistrad: Crimson Vow,0.23,0.32
Alchemist's Gift,Core Set 2021,0.04,0.15
Alchemist's Greeting,Commander 2019,0.07,
Alchemist's Refuge,The Lost Caverns of Ixalan Commander,3.77,
Alchemist's Retrieval,Innistrad: Crimson Vow,0.07,0.20
Alchemist's Talent,Bloomburrow Commander,16.19,
Alchemist's Vial,Magic Origins,0.05,1.41
Alchor's Tomb,Masters Edition IV,,
Aleatory,Mirage,0.26,
"Alela, Artful Provocateur",New Capenna Commander,0.72,
"Alela, Cunning Conqueror",Wilds of Eldraine Commander,0.56,0.70
"Alena, Kessig Trapper",Commander Legends,0.09,0.31
Alert Heedbonder,Ikoria: Lair of Behemoths,0.06,0.11
Alert Shu Infantry,Portal Three Kingdoms,7.24,
Alesha's Vanguard,Fate Reforged,0.02,0.10
"Alesha, Who Laughs at Fate",Foundations,0.54,0.79
"Alesha, Who Smiles at Death",Dominaria United Commander,0.13,
"Alexios, Deimos of Kosmos",Assassin's Creed,0.36,0.36
Alexi's Cloak,Prophecy,0.47,10.37
"Alexi, Zephyr Mage",Prophecy,0.37,18.78
Algae Gharial,Modern Masters 2015,0.07,0.06
"Alhammarret, High Arbiter",Magic Origins,0.15,0.36
Alhammarret's Archive,Commander 2021,13.26,
"Alharu, Solemn Ritualist",Commander Masters,0.05,0.08
Ali Baba,Fourth Edition,0.21,
Aliban's Tower,Homelands,0.07,
"Alibou, Ancient Witness",Commander 2021,,6.18
Ali from Cairo,Masters Edition IV,,
Aligned Hedron Network,Battle for Zendikar,0.25,0.44
"Alirios, Enraptured",Theros Beyond Death,0.04,0.11
"Alistair, the Brigadier",Doctor Who,0.07,0.44
A Little Chat,Streets of New Capenna,0.02,0.07
Alive // Well,Dragon's Maze,0.07,0.25
Allay,Exodus,0.19,
Alley Assailant,Murders at Karlov Manor,0.03,0.02
Alley Evasion,Aether Revolt,0.05,0.27
Alley Grifters,Mercadian Masques,0.09,2.00
Alley Strangler,Aether Revolt,0.03,0.28
All Hallow's Eve,Masters Edition III,,
Alliance of Arms,Commander 2011,8.91,
Allied Assault,Zendikar Rising,0.02,0.14
Allied Reinforcements,Oath of the Gatewatch,0.03,0.24
Allied Strategies,Duel Decks: Phyrexia vs. the Coalition,0.27,
All Is Dust,Commander Masters,5.55,
"All of History, All at Once",Doctor Who,0.15,0.31
Allosaurus Rider,Duel Decks Anthology: Elves vs. Goblins,0.95,
Allosaurus Shepherd,Double Masters 2022,23.67,28.21
Alloy Animist,The Brothers' War,0.05,0.09
Alloy Golem,Invasion,0.13,1.30
Alloy Myr,Jumpstart,0.46,
All-Seeing Arbiter,Streets of New Capenna,0.25,0.34
All Suns' Dawn,Modern Masters 2015,0.29,0.80
All That Glitters,Commander Masters,0.44,0.57
Allure of the Unknown,Theros Beyond Death,0.06,0.21
Alluring Scent,Masters Edition IV,,
Alluring Siren,Magic 2012,0.07,0.25
Alluring Suitor // Deadly Dancer,Innistrad: Crimson Vow,0.02,0.08
All Will Be One,Phyrexia: All Will Be One,14.13,12.55
Ally Encampment,Battle for Zendikar,0.15,0.71
Almighty Brushwagg,Ikoria: Lair of Behemoths,0.06,0.12
Almost Perfect,Fallout,0.14,0.49
Alms,Weatherlight,0.11,
